nr,lat_orig,lon_orig,hell_orig,rdx_orig,rdy_orig,nap_orig,lat_calc,lon_calc,hell_calc,rdx_calc,rdy_calc,nap_calc,lat_diff,lon_diff,hell_diff,rdx_diff,rdy_diff,nap_diff
30018390,51.167538317,-1.691864764,211.2776,-339601.8355,377118.5913,inf,inf,inf,inf,-339570.5991,377022.4683,211.2776,-inf,-inf,-inf,-31.2364,96.1230,inf
30018391,52.077319078,0.059669297,82.9095,-209992.7770,467740.0596,inf,inf,inf,inf,-209976.9428,467632.4038,82.9095,-inf,-inf,-inf,-15.8342,107.6558,inf
30018392,57.233044264,6.792556853,192.9634,240025.0382,1029427.3239,inf,inf,inf,inf,239989.3250,1029249.6238,192.9634,-inf,-inf,-inf,35.7132,177.7001,inf
30018393,50.035917908,1.153596944,243.2125,-148268.6895,235951.0363,inf,inf,inf,inf,-148262.4996,235870.0152,243.2125,-inf,-inf,-inf,-6.1899,81.0211,inf
30018394,50.001893496,0.467076031,252.8794,-197653.8326,235230.5124,inf,inf,inf,inf,-197641.4894,235149.9365,252.8794,-inf,-inf,-inf,-12.3432,80.5759,inf
30018395,47.602124533,5.968538269,171.9619,198780.7416,-43471.0251,inf,inf,inf,inf,198741.3438,-43522.3349,171.9619,-inf,-inf,-inf,39.3978,51.3098,inf
30018396,48.589118775,5.289688106,227.0297,147800.7028,66238.1131,inf,inf,inf,inf,147768.5557,66174.5200,227.0297,-inf,-inf,-inf,32.1471,63.5931,inf
30018397,51.553898853,-0.640413367,289.6995,-262711.1613,413400.1570,inf,inf,inf,inf,-262689.2074,413299.2486,289.6995,-inf,-inf,-inf,-21.9539,100.9084,inf
30018398,52.395755312,0.692596249,19.5665,-164381.6126,500122.4844,inf,inf,inf,inf,-164371.1991,500010.6927,19.5665,-inf,-inf,-inf,-10.4135,111.7917,inf
30018399,55.312601933,6.496217587,142.9015,225461.6699,815029.1795,101.9674,55.313961921,6.496816547,101.9674,225425.9868,814877.1094,142.9015,-0.001359988,-0.000598960,40.9341,35.6831,152.0701,-40.9341
30018400,54.691357470,4.212517204,219.8308,79222.6844,745907.1097,178.3104,54.692641113,4.212759247,178.3104,79204.7194,745764.4485,219.8308,-0.001283643,-0.000242043,41.5204,17.9650,142.6612,-41.5204
30018401,50.813178045,1.608413997,15.3252,-111257.7423,320571.9320,inf,inf,inf,inf,-111255.4642,320480.7664,15.3252,-inf,-inf,-inf,-2.2781,91.1656,inf
30018402,56.709818802,0.964324564,-1.1033,-116147.4188,978735.0327,inf,inf,inf,inf,-116138.9822,978566.2914,-1.1033,-inf,-inf,-inf,-8.4366,168.7413,inf
30018403,52.629477993,-2.967804830,56.5961,-409795.8732,548454.3011,inf,inf,inf,inf,-409754.4286,548338.5852,56.5961,-inf,-inf,-inf,-41.4446,115.7159,inf
30018404,50.221421389,-0.307644144,81.5578,-251221.9386,263610.6440,inf,inf,inf,inf,-251202.6781,263527.1472,81.5578,-inf,-inf,-inf,-19.2605,83.4968,inf
30018405,55.589901206,6.173826821,283.9741,204636.4342,845649.3707,242.6226,55.591293796,6.174374325,242.6226,204603.6127,845493.8447,283.9741,-0.001392590,-0.000547504,41.3515,32.8215,155.5260,-41.3515
30018406,52.938412620,-2.542799669,188.3075,-377374.5722,579444.0759,inf,inf,inf,inf,-377336.9067,579324.4951,188.3075,-inf,-inf,-inf,-37.6655,119.5808,inf
30018407,48.717989401,5.804287073,3.3186,185716.2832,80662.5960,inf,inf,inf,inf,185679.5222,80597.0198,3.3186,-inf,-inf,-inf,36.7610,65.5762,inf
30018408,55.170619351,3.427503221,225.9659,30059.1680,800384.0074,183.7369,55.171956705,3.427617018,183.7369,30047.8089,800235.2937,225.9659,-0.001337354,-0.000113797,42.2290,11.3591,148.7137,-42.2290
30018409,55.387469627,6.917447584,143.5186,252042.6383,823865.7658,102.7316,55.388838278,6.918113535,102.7316,252003.7023,823712.4196,143.5186,-0.001368651,-0.000665951,40.7870,38.9360,153.3462,-40.7870
30018410,51.377034324,8.568464508,49.6255,376444.5974,381259.3783,inf,inf,inf,inf,376386.4609,381157.1315,49.6255,-inf,-inf,-inf,58.1365,102.2468,inf
